Constituent fund name,Date,Currency,NAV / unit
Manulife MPF North American Equity Fund,17/06/2021,HKD,26.156
Manulife MPF North American Equity Fund,18/06/2021,HKD,25.902
Manulife MPF North American Equity Fund,21/06/2021,HKD,26.160
Manulife MPF North American Equity Fund,22/06/2021,HKD,26.395
Manulife MPF North American Equity Fund,23/06/2021,HKD,26.398
Manulife MPF North American Equity Fund,24/06/2021,HKD,26.532
Manulife MPF North American Equity Fund,25/06/2021,HKD,26.573
Manulife MPF North American Equity Fund,28/06/2021,HKD,26.715
Manulife MPF North American Equity Fund,29/06/2021,HKD,26.755
Manulife MPF North American Equity Fund,30/06/2021,HKD,26.713
Manulife MPF North American Equity Fund,02/07/2021,HKD,27.092
Manulife MPF North American Equity Fund,05/07/2021,HKD,27.091
Manulife MPF North American Equity Fund,06/07/2021,HKD,27.197
Manulife MPF North American Equity Fund,07/07/2021,HKD,27.236
Manulife MPF North American Equity Fund,08/07/2021,HKD,26.970
Manulife MPF North American Equity Fund,09/07/2021,HKD,27.252
Manulife MPF North American Equity Fund,12/07/2021,HKD,27.315
Manulife MPF North American Equity Fund,13/07/2021,HKD,27.206
Manulife MPF North American Equity Fund,14/07/2021,HKD,27.209
Manulife MPF North American Equity Fund,15/07/2021,HKD,27.065
Manulife MPF North American Equity Fund,16/07/2021,HKD,26.894
Manulife MPF North American Equity Fund,19/07/2021,HKD,26.505
Manulife MPF North American Equity Fund,20/07/2021,HKD,26.980
Manulife MPF North American Equity Fund,21/07/2021,HKD,27.279
Manulife MPF North American Equity Fund,22/07/2021,HKD,27.416
Manulife MPF North American Equity Fund,23/07/2021,HKD,27.884
Manulife MPF North American Equity Fund,26/07/2021,HKD,27.946
Manulife MPF North American Equity Fund,27/07/2021,HKD,27.719
Manulife MPF North American Equity Fund,28/07/2021,HKD,27.794
Manulife MPF North American Equity Fund,29/07/2021,HKD,27.764
Manulife MPF North American Equity Fund,30/07/2021,HKD,27.445
Manulife MPF North American Equity Fund,02/08/2021,HKD,27.377
Manulife MPF North American Equity Fund,03/08/2021,HKD,27.565
Manulife MPF North American Equity Fund,04/08/2021,HKD,27.593
Manulife MPF North American Equity Fund,05/08/2021,HKD,27.806
Manulife MPF North American Equity Fund,06/08/2021,HKD,27.815
Manulife MPF North American Equity Fund,09/08/2021,HKD,27.836
Manulife MPF North American Equity Fund,10/08/2021,HKD,27.798
Manulife MPF North American Equity Fund,11/08/2021,HKD,27.751
Manulife MPF North American Equity Fund,12/08/2021,HKD,27.854
Manulife MPF North American Equity Fund,13/08/2021,HKD,27.889
Manulife MPF North American Equity Fund,16/08/2021,HKD,27.889
Manulife MPF North American Equity Fund,17/08/2021,HKD,27.648
Manulife MPF North American Equity Fund,18/08/2021,HKD,27.384
Manulife MPF North American Equity Fund,19/08/2021,HKD,27.381
Manulife MPF North American Equity Fund,20/08/2021,HKD,27.615
Manulife MPF North American Equity Fund,23/08/2021,HKD,27.979
Manulife MPF North American Equity Fund,24/08/2021,HKD,28.101
Manulife MPF North American Equity Fund,25/08/2021,HKD,28.182
Manulife MPF North American Equity Fund,26/08/2021,HKD,28.032
Manulife MPF North American Equity Fund,27/08/2021,HKD,28.385
Manulife MPF North American Equity Fund,30/08/2021,HKD,28.587
Manulife MPF North American Equity Fund,31/08/2021,HKD,28.478
Manulife MPF North American Equity Fund,01/09/2021,HKD,28.553
Manulife MPF North American Equity Fund,02/09/2021,HKD,28.478
Manulife MPF North American Equity Fund,03/09/2021,HKD,28.569
Manulife MPF North American Equity Fund,06/09/2021,HKD,28.573
Manulife MPF North American Equity Fund,07/09/2021,HKD,28.582
Manulife MPF North American Equity Fund,09/09/2021,HKD,28.406
Manulife MPF North American Equity Fund,10/09/2021,HKD,28.232
Manulife MPF North American Equity Fund,13/09/2021,HKD,28.218
Manulife MPF North American Equity Fund,14/09/2021,HKD,28.112
Manulife MPF North American Equity Fund,15/09/2021,HKD,28.326
Manulife MPF North American Equity Fund,16/09/2021,HKD,28.370
Manulife MPF North American Equity Fund,17/09/2021,HKD,28.084
Manulife MPF North American Equity Fund,20/09/2021,HKD,27.544
Manulife MPF North American Equity Fund,21/09/2021,HKD,27.595
Manulife MPF North American Equity Fund,23/09/2021,HKD,28.161
Manulife MPF North American Equity Fund,24/09/2021,HKD,28.222
Manulife MPF North American Equity Fund,27/09/2021,HKD,28.074
Manulife MPF North American Equity Fund,28/09/2021,HKD,27.259
Manulife MPF North American Equity Fund,29/09/2021,HKD,27.198
Manulife MPF North American Equity Fund,30/09/2021,HKD,26.966
Manulife MPF North American Equity Fund,04/10/2021,HKD,26.651
Manulife MPF North American Equity Fund,05/10/2021,HKD,26.992
Manulife MPF North American Equity Fund,06/10/2021,HKD,27.155
Manulife MPF North American Equity Fund,07/10/2021,HKD,27.394
Manulife MPF North American Equity Fund,08/10/2021,HKD,27.324
Manulife MPF North American Equity Fund,11/10/2021,HKD,27.054
Manulife MPF North American Equity Fund,12/10/2021,HKD,27.050
Manulife MPF North American Equity Fund,15/10/2021,HKD,27.974
Manulife MPF North American Equity Fund,18/10/2021,HKD,28.221
Manulife MPF North American Equity Fund,19/10/2021,HKD,28.392
Manulife MPF North American Equity Fund,20/10/2021,HKD,28.334
Manulife MPF North American Equity Fund,21/10/2021,HKD,28.472
Manulife MPF North American Equity Fund,22/10/2021,HKD,28.156
Manulife MPF North American Equity Fund,25/10/2021,HKD,28.224
Manulife MPF North American Equity Fund,26/10/2021,HKD,28.173
Manulife MPF North American Equity Fund,27/10/2021,HKD,28.055
Manulife MPF North American Equity Fund,28/10/2021,HKD,28.325
Manulife MPF North American Equity Fund,29/10/2021,HKD,28.401
Manulife MPF North American Equity Fund,01/11/2021,HKD,28.358
Manulife MPF North American Equity Fund,02/11/2021,HKD,28.439
Manulife MPF North American Equity Fund,03/11/2021,HKD,28.641
Manulife MPF North American Equity Fund,04/11/2021,HKD,28.815
Manulife MPF North American Equity Fund,05/11/2021,HKD,28.955
Manulife MPF North American Equity Fund,08/11/2021,HKD,29.021
Manulife MPF North American Equity Fund,09/11/2021,HKD,28.965
Manulife MPF North American Equity Fund,10/11/2021,HKD,28.526
Manulife MPF North American Equity Fund,11/11/2021,HKD,28.559
Manulife MPF North American Equity Fund,12/11/2021,HKD,28.903
Manulife MPF North American Equity Fund,15/11/2021,HKD,28.892
Manulife MPF North American Equity Fund,16/11/2021,HKD,29.021
Manulife MPF North American Equity Fund,17/11/2021,HKD,28.909
Manulife MPF North American Equity Fund,18/11/2021,HKD,29.101
Manulife MPF North American Equity Fund,19/11/2021,HKD,29.077
Manulife MPF North American Equity Fund,22/11/2021,HKD,28.713
Manulife MPF North American Equity Fund,23/11/2021,HKD,28.685
Manulife MPF North American Equity Fund,24/11/2021,HKD,28.845
Manulife MPF North American Equity Fund,25/11/2021,HKD,28.842
Manulife MPF North American Equity Fund,26/11/2021,HKD,28.299
Manulife MPF North American Equity Fund,29/11/2021,HKD,28.684
Manulife MPF North American Equity Fund,30/11/2021,HKD,28.123
Manulife MPF North American Equity Fund,01/12/2021,HKD,27.587
Manulife MPF North American Equity Fund,02/12/2021,HKD,27.945
Manulife MPF North American Equity Fund,03/12/2021,HKD,27.538
Manulife MPF North American Equity Fund,06/12/2021,HKD,27.892
Manulife MPF North American Equity Fund,07/12/2021,HKD,28.628
Manulife MPF North American Equity Fund,08/12/2021,HKD,28.792
Manulife MPF North American Equity Fund,09/12/2021,HKD,28.468
Manulife MPF North American Equity Fund,10/12/2021,HKD,28.583
Manulife MPF North American Equity Fund,13/12/2021,HKD,28.250
Manulife MPF North American Equity Fund,14/12/2021,HKD,27.967
Manulife MPF North American Equity Fund,15/12/2021,HKD,28.470
Manulife MPF North American Equity Fund,16/12/2021,HKD,27.937
Manulife MPF North American Equity Fund,17/12/2021,HKD,27.788
Manulife MPF North American Equity Fund,20/12/2021,HKD,27.391
Manulife MPF North American Equity Fund,21/12/2021,HKD,28.067
Manulife MPF North American Equity Fund,22/12/2021,HKD,28.287
Manulife MPF North American Equity Fund,23/12/2021,HKD,28.459
Manulife MPF North American Equity Fund,24/12/2021,HKD,28.458
Manulife MPF North American Equity Fund,28/12/2021,HKD,28.670
Manulife MPF North American Equity Fund,29/12/2021,HKD,28.629
Manulife MPF North American Equity Fund,30/12/2021,HKD,28.587
Manulife MPF North American Equity Fund,31/12/2021,HKD,28.411
Manulife MPF North American Equity Fund,03/01/2022,HKD,28.607
Manulife MPF North American Equity Fund,04/01/2022,HKD,28.353
Manulife MPF North American Equity Fund,05/01/2022,HKD,27.549
Manulife MPF North American Equity Fund,06/01/2022,HKD,27.543
Manulife MPF North American Equity Fund,07/01/2022,HKD,27.303
Manulife MPF North American Equity Fund,10/01/2022,HKD,27.357
Manulife MPF North American Equity Fund,11/01/2022,HKD,27.704
Manulife MPF North American Equity Fund,12/01/2022,HKD,27.738
Manulife MPF North American Equity Fund,13/01/2022,HKD,27.143
Manulife MPF North American Equity Fund,14/01/2022,HKD,27.189
Manulife MPF North American Equity Fund,17/01/2022,HKD,27.199
Manulife MPF North American Equity Fund,18/01/2022,HKD,26.496
Manulife MPF North American Equity Fund,19/01/2022,HKD,26.211
Manulife MPF North American Equity Fund,20/01/2022,HKD,25.914
Manulife MPF North American Equity Fund,21/01/2022,HKD,25.203
Manulife MPF North American Equity Fund,24/01/2022,HKD,25.355
Manulife MPF North American Equity Fund,25/01/2022,HKD,24.835
Manulife MPF North American Equity Fund,26/01/2022,HKD,24.764
Manulife MPF North American Equity Fund,27/01/2022,HKD,24.654
Manulife MPF North American Equity Fund,28/01/2022,HKD,25.454
Manulife MPF North American Equity Fund,31/01/2022,HKD,26.195
Manulife MPF North American Equity Fund,04/02/2022,HKD,25.838
Manulife MPF North American Equity Fund,07/02/2022,HKD,25.680
Manulife MPF North American Equity Fund,08/02/2022,HKD,25.943
Manulife MPF North American Equity Fund,09/02/2022,HKD,26.468
